text_id,model,paragraph_id,paragraph_number,next_paragraph_id,next_paragraph_number,segment_id_1,segment_id_2,normalized_position,x3cw_adjacent_paragraph_similarity
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,BASIC_CHATGPT_NATIVE_001_P01_x3cw,BASIC_CHATGPT_NATIVE_001_P02_x3cw,0,-9.192764832587053e-4
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,2,BASIC_CHATGPT_NATIVE_001_P03,3,BASIC_CHATGPT_NATIVE_001_P02_x3cw,BASIC_CHATGPT_NATIVE_001_P03_x3cw,0.5,0.3350845761615172
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P03,3,BASIC_CHATGPT_NATIVE_001_P04,4,BASIC_CHATGPT_NATIVE_001_P03_x3cw,BASIC_CHATGPT_NATIVE_001_P04_x3cw,1,0.11061724290636267
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P01,1,BASIC_CLAUDE_NATIVE_001_P02,2,BASIC_CLAUDE_NATIVE_001_P01_x3cw,BASIC_CLAUDE_NATIVE_001_P02_x3cw,0,0.31226692584999594
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P02,2,BASIC_CLAUDE_NATIVE_001_P03,3,BASIC_CLAUDE_NATIVE_001_P02_x3cw,BASIC_CLAUDE_NATIVE_001_P03_x3cw,1,0.17855406456388473
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P01,1,BASIC_GEMINI_NATIVE_001_P02,2,BASIC_GEMINI_NATIVE_001_P01_x3cw,BASIC_GEMINI_NATIVE_001_P02_x3cw,0,0.3042836460034836
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P02,2,BASIC_GEMINI_NATIVE_001_P03,3,BASIC_GEMINI_NATIVE_001_P02_x3cw,BASIC_GEMINI_NATIVE_001_P03_x3cw,1,0.02450663602273179
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P01,1,HUMAN_BASELINE_001_P02,2,HUMAN_BASELINE_001_P01_x3cw,HUMAN_BASELINE_001_P02_x3cw,0,0.34263912646624056
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P02,2,HUMAN_BASELINE_001_P03,3,HUMAN_BASELINE_001_P02_x3cw,HUMAN_BASELINE_001_P03_x3cw,0.3333333333333333,0.2795356969835613
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P03,3,HUMAN_BASELINE_001_P04,4,HUMAN_BASELINE_001_P03_x3cw,HUMAN_BASELINE_001_P04_x3cw,0.6666666666666666,0.15913519801397058
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P04,4,HUMAN_BASELINE_001_P05,5,HUMAN_BASELINE_001_P04_x3cw,HUMAN_BASELINE_001_P05_x3cw,1,0.4412394829481772
