source,sentence_id,sentence_text
Leipzig_deu_news_2023_1M,463,"Ab 1. Juli 2023 sucht das Arbeitsmarktservice (AMS) zwei neue Vorstandsmitglieder, sowie neun Landesgeschäftsführungen bzw. deren Stellvertretungen."
Leipzig_deu_news_2023_1M,1419,Aber aktuell gibt es einen Arbeitskräftemangel – damit sind solche Digitalisierungsprojekte in den Vordergrund gerückt.
Leipzig_deu_news_2023_1M,1472,Aber als Allheilmittel kann die Digitalisierung nicht dienen - höchsten unterstützend.
Leipzig_deu_news_2023_1M,1790,"Aber auch das Thema Digitalisierung müsse angegangen werden, sowohl bei im Mitarbeiter- als auch im Kundenmanagement."
Leipzig_deu_news_2023_1M,2192,"Aber auch in diesem Fall verschwindet der Homo sapiens, denn er wird durch eine höhere, künstliche Intelligenzform abgelöst."
Leipzig_deu_news_2023_1M,2717,Aber Büroangestellte und damit Frauen sind von der Automatisierung besonders gefährdet.
Leipzig_deu_news_2023_1M,3543,Aber der Arbeitsmarkt ist immer noch stark (basierend auf den verfälschten Regierungsdaten) und die Verbraucher geben immer noch Geld aus (und verschulden sich in Rekordhöhe).
Leipzig_deu_news_2023_1M,4088,Aber die Offensive zur Modernisierung und Digitalisierung ist ins Stocken geraten.
Leipzig_deu_news_2023_1M,5265,"Aber es ist vor allem der Bereich künstliche Intelligenz, der das Wachstum des Unternehmens aus dem Silicon Valley zuletzt turbomäßig beschleunigt hat."
Leipzig_deu_news_2023_1M,6530,"Aber: „In der Digitalisierung von Diensten, zum Beispiel in den Verwaltungen, würde ich die schlechte Note geben“, so Höttges."
Leipzig_deu_news_2023_1M,6715,"Aber ist es das, was der deutsche Arbeitsmarkt braucht?"
Leipzig_deu_news_2023_1M,7358,"Aber mit Projekten wie dem Industriegebiet Lindenrain, der Digitalisierung der Schulen und der Verwaltung oder dem Förderprogramm Innenstadt gehe Calw große Schritte in Richtung Zukunft."
Leipzig_deu_news_2023_1M,7385,"Aber möglich ist auch, dass der Arbeitsmarkt wahrscheinlich noch etwas an Dynamik verlieren wird."
Leipzig_deu_news_2023_1M,8944,"Aber was das für den Arbeitsmarkt bedeutet, für Menschen, die Opfer werden, damit haben wir uns viel zu wenig beschäftigt."
Leipzig_deu_news_2023_1M,9243,"Aber wenn es um die jungen Menschen geht, um die ""Generation Z"", da kann man schon auch sagen: Sie haben eine kleine Revolution gestartet - und zwar in der gesamten Arbeitswelt."
Leipzig_deu_news_2023_1M,9498,Aber wie gut ist die Volksrepublik wirklich in Bereichen wie Künstliche Intelligenz oder auch Elektromobilität und Chipproduktion aufgestellt?
Leipzig_deu_news_2023_1M,9526,Aber wie kann deren Integration in den Arbeitsmarkt gelingen?
Leipzig_deu_news_2023_1M,9875,Aber wir sehen gleichzeitig auch eine große Prekarisierung auf dem Arbeitsmarkt.
