text_id,model,paragraph_id,sentence_id,segment_order,connector_type,terms,n_connectors,segment_id,valid_vector,next_sentence_id,next_segment_id,normalized_position,transition_id,cc_score
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,2,1,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_2_CCONJ,TRUE,3,BASIC_CHATGPT_NATIVE_001_3_CCONJ,0,BASIC_CHATGPT_NATIVE_001_2_3_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,3,2,CCONJ,,0,BASIC_CHATGPT_NATIVE_001_3_CCONJ,FALSE,4,BASIC_CHATGPT_NATIVE_001_4_CCONJ,0.047619047619047616,BASIC_CHATGPT_NATIVE_001_3_4_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,4,3,CCONJ,denn,1,BASIC_CHATGPT_NATIVE_001_4_CCONJ,TRUE,5,BASIC_CHATGPT_NATIVE_001_5_CCONJ,0.09523809523809523,BASIC_CHATGPT_NATIVE_001_4_5_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,5,4,CCONJ,,0,BASIC_CHATGPT_NATIVE_001_5_CCONJ,FALSE,6,BASIC_CHATGPT_NATIVE_001_6_CCONJ,0.14285714285714285,BASIC_CHATGPT_NATIVE_001_5_6_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,6,5,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_6_CCONJ,TRUE,7,BASIC_CHATGPT_NATIVE_001_7_CCONJ,0.19047619047619047,BASIC_CHATGPT_NATIVE_001_6_7_CCONJ,-0.09893870467565673
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,7,6,CCONJ,sondern,1,BASIC_CHATGPT_NATIVE_001_7_CCONJ,TRUE,8,BASIC_CHATGPT_NATIVE_001_8_CCONJ,0.23809523809523808,BASIC_CHATGPT_NATIVE_001_7_8_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,8,7,CCONJ,,0,BASIC_CHATGPT_NATIVE_001_8_CCONJ,FALSE,10,BASIC_CHATGPT_NATIVE_001_10_CCONJ,0.2857142857142857,BASIC_CHATGPT_NATIVE_001_8_10_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,10,8,CCONJ,,0,BASIC_CHATGPT_NATIVE_001_10_CCONJ,FALSE,11,BASIC_CHATGPT_NATIVE_001_11_CCONJ,0.3333333333333333,BASIC_CHATGPT_NATIVE_001_10_11_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,11,9,CCONJ,wie und als,3,BASIC_CHATGPT_NATIVE_001_11_CCONJ,TRUE,12,BASIC_CHATGPT_NATIVE_001_12_CCONJ,0.38095238095238093,BASIC_CHATGPT_NATIVE_001_11_12_CCONJ,0.3624204020377347
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,12,10,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_12_CCONJ,TRUE,13,BASIC_CHATGPT_NATIVE_001_13_CCONJ,0.42857142857142855,BASIC_CHATGPT_NATIVE_001_12_13_CCONJ,0.9999999999999996
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,13,11,CCONJ,und,1,BASIC_CHATGPT_NATIVE_001_13_CCONJ,TRUE,14,BASIC_CHATGPT_NATIVE_001_14_CCONJ,0.47619047619047616,BASIC_CHATGPT_NATIVE_001_13_14_CCONJ,NA
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,14,12,CCONJ,,0,BASIC_CHATGPT_NATIVE_001_14_CCONJ,FALSE,15,BASIC_CHATGPT_NATIVE_001_15_CCONJ,0.5238095238095238,BASIC_CHATGPT_NATIVE_001_14_15_CCONJ,NA
