text_id,source_type,seed_method,seed_id,seed_word
HUMAN_BASELINE_001,human,every_9th_word,1,Tätigkeiten
HUMAN_BASELINE_001,human,every_9th_word,2,Maschinen
HUMAN_BASELINE_001,human,every_9th_word,3,Die
HUMAN_BASELINE_001,human,every_9th_word,4,Digitalisierung
HUMAN_BASELINE_001,human,every_9th_word,5,von
HUMAN_BASELINE_001,human,every_9th_word,6,es
HUMAN_BASELINE_001,human,every_9th_word,7,positiv
HUMAN_BASELINE_001,human,every_9th_word,8,viele
HUMAN_BASELINE_001,human,every_9th_word,9,Werden
HUMAN_BASELINE_001,human,every_9th_word,10,es
HUMAN_BASELINE_001,human,every_9th_word,11,Arbeit
HUMAN_BASELINE_001,human,every_9th_word,12,verschiedene
HUMAN_BASELINE_001,human,every_9th_word,13,galten
HUMAN_BASELINE_001,human,every_9th_word,14,Produktion
HUMAN_BASELINE_001,human,every_9th_word,15,der
HUMAN_BASELINE_001,human,every_9th_word,16,kaum
HUMAN_BASELINE_001,human,every_9th_word,17,Lebensläufe
HUMAN_BASELINE_001,human,every_9th_word,18,es
HUMAN_BASELINE_001,human,every_9th_word,19,Scanner
HUMAN_BASELINE_001,human,every_9th_word,20,Technologie
HUMAN_BASELINE_001,human,every_9th_word,21,relativ
HUMAN_BASELINE_001,human,every_9th_word,22,zu
HUMAN_BASELINE_001,human,every_9th_word,23,eines
HUMAN_BASELINE_001,human,every_9th_word,24,und
HUMAN_BASELINE_001,human,every_9th_word,25,günstig
HUMAN_BASELINE_001,human,every_9th_word,26,seinen
HUMAN_BASELINE_001,human,every_9th_word,27,steht
HUMAN_BASELINE_001,human,every_9th_word,28,bei
HUMAN_BASELINE_001,human,every_9th_word,29,Hause
HUMAN_BASELINE_001,human,every_9th_word,30,das
HUMAN_BASELINE_001,human,every_9th_word,31,wir
HUMAN_BASELINE_001,human,every_9th_word,32,Technik
HUMAN_BASELINE_001,human,every_9th_word,33,ist
HUMAN_BASELINE_001,human,every_9th_word,34,zu
HUMAN_BASELINE_001,human,every_9th_word,35,machen
HUMAN_BASELINE_001,human,every_9th_word,36,neuen
HUMAN_BASELINE_001,human,every_9th_word,37,auch
HUMAN_BASELINE_001,human,every_9th_word,38,unverzichtbar
HUMAN_BASELINE_001,human,every_9th_word,39,sind
HUMAN_BASELINE_001,human,every_9th_word,40,erfunden
HUMAN_BASELINE_001,human,every_9th_word,41,was
HUMAN_BASELINE_001,human,every_9th_word,42,Fähigkeiten
HUMAN_BASELINE_001,human,every_9th_word,43,gehören
HUMAN_BASELINE_001,human,every_9th_word,44,und
HUMAN_BASELINE_001,human,every_9th_word,45,Möglichkeiten
HUMAN_BASELINE_001,human,every_9th_word,46,und
HUMAN_BASELINE_001,human,every_9th_word,47,Maschinen
HUMAN_BASELINE_001,human,every_9th_word,48,gilt
HUMAN_BASELINE_001,human,every_9th_word,49,Denken
HUMAN_BASELINE_001,human,every_9th_word,50,wahrscheinlich
HUMAN_BASELINE_001,human,every_9th_word,51,Tätigkeiten
HUMAN_BASELINE_001,human,every_9th_word,52,können
HUMAN_BASELINE_001,human,every_9th_word,53,der
HUMAN_BASELINE_001,human,every_9th_word,54,Gesundheitsberufe
HUMAN_BASELINE_001,human,every_9th_word,55,sehr
HUMAN_BASELINE_001,human,every_9th_word,56,sind
HUMAN_BASELINE_001,human,every_9th_word,57,sich
HUMAN_BASELINE_001,human,every_9th_word,58,Zukunft
HUMAN_BASELINE_001,human,every_9th_word,59,zu
HUMAN_BASELINE_001,human,every_9th_word,60,Erfindergeist
HUMAN_BASELINE_001,human,every_9th_word,61,werden
