text_id,model,segment_id_1,segment_id_2,paragraph_order_1,paragraph_order_2,x3p_adjacent_paragraph_similarity,normalized_position
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,BASIC_CHATGPT_NATIVE_001_P02,1,2,0.10295913831077713,0
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,BASIC_CHATGPT_NATIVE_001_P03,2,3,0.42064715495781235,0.5
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P03,BASIC_CHATGPT_NATIVE_001_P04,3,4,0.3005096905442451,1
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P01,BASIC_CLAUDE_NATIVE_001_P02,1,2,0.27835723693816705,0
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P02,BASIC_CLAUDE_NATIVE_001_P03,2,3,0.22607151478935059,1
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P01,BASIC_GEMINI_NATIVE_001_P02,1,2,0.3435149815040047,0
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P02,BASIC_GEMINI_NATIVE_001_P03,2,3,0.06586053371936412,1
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P01,HUMAN_BASELINE_001_P02,1,2,0.39341124840519986,0
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P02,HUMAN_BASELINE_001_P03,2,3,0.11221946047967554,0.3333333333333333
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P03,HUMAN_BASELINE_001_P04,3,4,0.19923323337613144,0.6666666666666666
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P04,HUMAN_BASELINE_001_P05,4,5,0.44425764892358366,1
